session_id,endtime,gender,age,residence,ethnicity,ethnicity_rec,device
157429,2025-05-06T18:02:17Z,female,63,GB,white,White,laptop
157430,2025-05-06T17:54:39Z,female,39,GB,british,White,phone
157431,2025-05-06T18:02:38Z,male,68,GB,white,White,desktop
157432,2025-05-06T17:55:33Z,male,40,CA,white,White,phone
157433,2025-05-06T17:59:12Z,male,35,HU,caucasian,White,desktop
157434,2025-05-06T17:55:56Z,male,48,US,asian,Asian,laptop
157435,2025-05-06T17:53:53Z,male,39,US,white,White,desktop
157436,2025-05-06T18:01:20Z,male,47,US,native american,Indigenous / Pacific Islander,phone
157437,2025-05-06T17:59:48Z,male,43,ZA,white,White,desktop
157438,2025-05-06T17:56:58Z,male,38,US,white/ latino,Mixed,desktop
157440,2025-05-06T18:14:18Z,female,40,US,east asian,Asian,desktop
157442,2025-05-06T17:59:45Z,female,40,ZA,black,Black,laptop
157443,2025-05-06T18:05:54Z,female,27,ZA,african,Black,laptop
157445,2025-05-06T18:05:37Z,female,26,ZA,black,Black,desktop
157446,2025-05-06T18:08:34Z,female,23,ZA,black,Black,phone
157447,2025-05-06T18:04:59Z,female,30,ZA,black/african,Black,desktop
157449,2025-05-06T18:05:32Z,male,24,IT,white,White,laptop
157451,2025-05-06T18:00:00Z,male,26,GB,white/british,White,desktop
157452,2025-05-06T18:05:48Z,male,59,US,white,White,laptop
157453,2025-05-06T18:05:48Z,male,30,CL,latin,Latine,desktop
157455,2025-05-06T18:36:52Z,male,38,ZA,african,Black,phone
157456,2025-05-06T18:03:02Z,female,32,GB,african,Black,laptop
157457,2025-05-06T18:04:21Z,female,64,US,black american,Black,laptop
157458,2025-05-06T18:02:13Z,female,30,ZA,black,Black,laptop
157460,2025-05-06T18:10:29Z,female,26,ZA,black,Black,laptop
157461,2025-05-06T18:05:17Z,male,21,PL,white,White,desktop
157463,2025-05-06T18:05:24Z,male,65,US,black african american,Black,laptop
157464,2025-05-06T18:04:34Z,female,24,PT,white,White,laptop
157466,2025-05-06T18:08:03Z,male,46,ES,white,White,laptop
157467,2025-05-06T18:03:30Z,male,41,US,white hispanic,Ambiguous label,phone
157468,2025-05-06T18:06:44Z,male,26,PL,white/caucasian,White,desktop
157469,2025-05-06T18:11:54Z,male,52,PT,caucasian,White,desktop
157470,2025-05-06T18:08:09Z,male,38,US,white,White,laptop
157471,2025-05-06T18:07:50Z,female,41,US,white,White,desktop
157472,2025-05-06T18:16:54Z,female,32,BR,preta,Latine,phone
157473,2025-05-06T18:12:27Z,female,30,ZA,black,Black,phone
157474,2025-05-06T18:04:10Z,female,54,GB,black,Black,laptop
157475,2025-05-06T18:10:02Z,male,22,BE,"belgium, asian",Ambiguous label,desktop
157476,2025-05-06T18:15:16Z,female,26,ZA,black,Black,phone
157477,2025-05-06T18:03:47Z,male,36,ZA,black,Black,laptop
157478,2025-05-06T18:13:01Z,female,35,ZA,black,Black,phone
157480,2025-05-06T18:07:04Z,female,31,GB,white british,White,laptop
157481,2025-05-06T18:04:54Z,female,25,US,white,White,laptop
157482,2025-05-06T18:14:39Z,male,35,GB,white,White,laptop
157483,2025-05-06T18:20:59Z,male,22,ZA,african,Black,phone
